字段类型,字段值,上级字段,说明
叙事波动型,后峰-结尾爆发,后峰型,前中段铺垫，终局集中爆发
叙事波动型,后峰-末端清算,后峰型,关系矛盾在结尾审判、报仇或处置
叙事波动型,后峰-终局和解,后峰型,结尾以团圆、赦免或认亲消解冲突
叙事波动型,后峰-迟来显义,后峰型,忠义/真相到后段才被确认
叙事波动型,后峰-后段反转,后峰型,后半部身份、阵营或善恶判断反转
叙事波动型,后峰-压轴报偿,后峰型,终局集中完成赏罚、封赠或报应
叙事波动型,中峰-中段审判,中峰型,中段公堂、质证或拷问形成峰值
叙事波动型,中峰-中段离合,中峰型,中段分离/重逢推动关系转向
叙事波动型,中峰-中段计谋,中峰型,中段设局、用计、试探形成波峰
叙事波动型,中峰-中段征战,中峰型,中段战斗或攻守形成主要峰值
叙事波动型,中峰-中段悟转,中峰型,人物在中段醒悟、悔改或皈依
叙事波动型,中峰-中段伦理压迫,中峰型,中段礼法、家法或身份约束达到峰值
叙事波动型,多峰-连环误会,多峰型,多次误会推动关系反复摆动
叙事波动型,多峰-连战递进,多峰型,多场战斗/交锋递进形成多峰
叙事波动型,多峰-恩怨反复,多峰型,报恩、报仇、追偿交替出现
叙事波动型,多峰-身份多转,多峰型,身份揭示、改扮、认亲等多次转折
叙事波动型,多峰-审断反复,多峰型,多次告状、审问、翻案形成波动
叙事波动型,多峰-离合循环,多峰型,聚散、追赶、失而复得反复循环
关系演化结局,亲缘团圆,按关系类型适配,失散或隔阂的亲属重新确认并团聚
关系演化结局,代际和解,按关系类型适配,父子、母子、翁媳等伦理矛盾被调停
关系演化结局,亲情牺牲,按关系类型适配,亲属一方以牺牲保全家国或家族
关系演化结局,宗族复位,按关系类型适配,家门名分、谱系或继承秩序恢复
关系演化结局,婚恋成全,按关系类型适配,恋爱或婚约最终被承认
关系演化结局,婚恋错失,按关系类型适配,情缘因礼法、战乱或死亡无法完成
关系演化结局,夫妻重圆,按关系类型适配,夫妻离散后重聚
关系演化结局,贞节守义,按关系类型适配,女性或配偶以礼教贞义完成评价
关系演化结局,君臣尽忠,按关系类型适配,臣属以忠义完成政治关系
关系演化结局,权力更替,按关系类型适配,旧权力退场，新权力确立
关系演化结局,主从归顺,按关系类型适配,对立或游离者归附合法秩序
关系演化结局,权谋败露,按关系类型适配,阴谋、篡夺或谗害被揭穿
关系演化结局,结义同心,按关系类型适配,伙伴或义军完成同盟确认
关系演化结局,同盟破裂,按关系类型适配,联盟因利益、误会或忠义分歧瓦解
关系演化结局,义助功成,按关系类型适配,友人/侠士援助促成目标
关系演化结局,阵营转投,按关系类型适配,人物改变阵营并重写关系
关系演化结局,敌对消灭,按关系类型适配,冲突一方被击败或处死
关系演化结局,敌对和解,按关系类型适配,敌我矛盾转为讲和、招安或互认
关系演化结局,复仇完成,按关系类型适配,受害者或其代理人完成复仇
关系演化结局,冤案昭雪,按关系类型适配,冤屈被查明并恢复清白
关系演化结局,恶人受惩,按关系类型适配,作恶者被审判、报应或处置
关系演化结局,恩情偿还,按关系类型适配,受恩者完成报答
关系演化结局,因果报应,按关系类型适配,善恶以宗教/天理方式得到回应
关系演化结局,悔悟改过,按关系类型适配,人物认错悔改，关系被重新评价
关系演化结局,善恶翻转,按关系类型适配,前期善恶判断被后期反证
关系演化结局,礼法压服,按关系类型适配,个体欲望被礼法秩序收束
关系演化结局,名节昭彰,按关系类型适配,忠孝节义等品格得到公开确认
关系演化结局,神佛救度,按关系类型适配,危机由神佛、梦兆或祥瑞化解
关系演化结局,功名显达,按关系类型适配,文人、寒士或忠臣获得功名封赠
关系演化结局,世情讽喻,按关系类型适配,以市井、人情或讽刺收束关系
