剧本ID,剧目名称,剧目类别,内容量权重,网络密度,度中心化,网络节点数,网络边数估计,二值网络密度,平均边权,最大边权,发言轮次,场次数,角色数,角色列表,页数,字符数,文件路径,主角色关系,角色关系集合,主主题,主题集合,闭环ID集合,叙事结构线集合,波动型集合,关系演化结局集合,主闭环ID,主叙事结构线,主波动型,主关系演化结局,公案戏得分,家庭戏得分,江湖戏得分,历史戏得分,神怪戏得分,网络计算方法,数据说明
01001011,文昭关,历史戏,26.95,0.3737,0.4413,6,11,0.7333,0.5096,0.995,153,7,6,伍员；东皋公；皇甫讷；米南适；童儿；四青袍,7,8126,01000000/01001011_文昭关.pdf,亲属关系,亲属关系|权力关系|同盟关系,战争武略,战争武略|家庭亲情|恩怨报偿|政治权力|礼教品格,loop-000|loop-001|loop-009|loop-010|loop-005|loop-032|loop-025|loop-041,平稳型|前锋型|多峰型|后峰型|中峰型,平稳-循环回归|前锋-先决裂后修补|多峰-恩怨反复|后峰-压轴报偿|后峰-迟来显义|后峰-结尾爆发|中峰-中段计谋,亲缘团圆|代际和解|宗族复位|名节昭彰|功名显达|权力更替|阵营转投,loop-000,平稳型,平稳-循环回归,亲缘团圆,6,27,5,78,1,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01001012,黄鹤楼,历史戏,29.86,0.2009,0.2879,9,18,0.5,0.4017,0.9364,214,5,9,刘备；赵云；周瑜；诸葛亮；张飞；鲁肃；刘封；四红龙套；甘宁,9,10264,01000000/01001012_黄鹤楼.pdf,权力关系,权力关系,战争武略,战争武略|政治权力|忠义家国|公案冤狱,loop-030|loop-031|loop-024|loop-025|loop-029,多峰型|中峰型|前锋型,多峰-连战递进|中峰-中段征战|前锋-开端突发|中峰-中段计谋,主从归顺|权谋败露|君臣尽忠|权力更替,loop-030,多峰型,多峰-连战递进,主从归顺,0,8,8,76,1,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01001013,天水关,历史戏,30.98,0.1989,0.3126,14,42,0.4615,0.431,0.9921,137,7,14,诸葛亮；姜维；刘禅；内侍；魏延；马岱；关兴；张苞；赵云；太监；马遵；报子；四绿龙套；四红龙套,8,7703,01000000/01001013_天水关.pdf,权力关系,权力关系|冲突关系,战争武略,战争武略|政治权力|恩怨报偿|除暴侠义|善恶转化,loop-030|loop-031|loop-026|loop-024|loop-049|loop-055|loop-052,多峰型|中峰型|后峰型|前锋型,多峰-连战递进|中峰-中段征战|后峰-末端清算|前锋-开端突发|后峰-压轴报偿,主从归顺|权谋败露|君臣尽忠|敌对和解|阵营转投|复仇完成,loop-030,多峰型,多峰-连战递进,主从归顺,1,36,10,123,4,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01001014,七星灯,历史戏,29.07,0.2284,0.5856,11,26,0.4727,0.4832,1.0,144,5,11,诸葛亮；姜维；司马懿；旗牌；众将；魏延；李福；王平；杨仪；马岱；报子,7,7461,01000000/01001014_七星灯.pdf,权力关系,权力关系|冲突关系,战争武略,战争武略|政治权力|恩怨报偿|公案冤狱|忠义家国,loop-032|loop-030|loop-024|loop-025|loop-034|loop-048|loop-054,后峰型|多峰型|前锋型|中峰型,后峰-结尾爆发|多峰-连战递进|前锋-开端突发|中峰-中段计谋|多峰-审断反复|多峰-恩怨反复,功名显达|主从归顺|君臣尽忠|权力更替|敌对消灭|复仇完成,loop-032,后峰型,后峰-结尾爆发,功名显达,0,21,4,84,11,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01001015,战北原,历史戏,24.93,0.3439,0.519,7,15,0.7143,0.4815,0.9999,85,1,7,诸葛亮；郑文；报子；四红龙套；张苞；秦朗；旗牌,5,5174,01000000/01001015_战北原.pdf,冲突关系,冲突关系|亲属关系|权力关系,战争武略,战争武略|家庭亲情|政治权力|善恶转化|恩怨报偿,loop-048|loop-049|loop-058|loop-059|loop-055|loop-000|loop-009|loop-032,多峰型|中峰型|后峰型|平稳型,多峰-连战递进|中峰-中段征战|后峰-后段反转|平稳-余波消解|后峰-压轴报偿|平稳-循环回归|多峰-恩怨反复|后峰-结尾爆发,敌对消灭|敌对和解|善恶翻转|阵营转投|亲缘团圆|宗族复位|功名显达,loop-048,多峰型,多峰-连战递进,敌对消灭,1,23,9,89,0,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01001016,牧羊卷,家庭戏,31.3,0.3493,0.3313,11,37,0.6727,0.5192,0.9997,245,1,11,朱春登；赵锦堂；朱母；朱春科；宋氏；中军；衙役甲；衙役乙；二衙役；厨房；龙套,8,9891,01000000/01001016_牧羊卷.pdf,亲属关系,亲属关系|权力关系,家庭亲情,家庭亲情|战争武略|政治权力|恩怨报偿|礼教品格,loop-000|loop-001|loop-011|loop-009|loop-003|loop-030|loop-025,平稳型|前锋型|后峰型|多峰型|中峰型,平稳-循环回归|前锋-先决裂后修补|后峰-末端清算|多峰-恩怨反复|平稳-低振守常|多峰-连战递进|中峰-中段计谋,亲缘团圆|代际和解|宗族复位|主从归顺|权力更替,loop-000,平稳型,平稳-循环回归,亲缘团圆,0,42,0,32,7,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01001017,清官册,公案戏,30.77,0.1927,0.6519,12,24,0.3636,0.5298,0.9976,186,5,12,寇准；潘洪；赵德芳；马牌子；夫人；金牌官；四青袍；家院；驿丞官；宋王；太监；衙役,8,9875,01000000/01001017_清官册.pdf,权力关系,权力关系|亲属关系,政治权力,政治权力|公案冤狱|家庭亲情|战争武略|礼教品格,loop-026|loop-024|loop-035|loop-033|loop-032|loop-000|loop-003,后峰型|前锋型|中峰型|平稳型,后峰-末端清算|前锋-开端突发|中峰-中段审判|后峰-结尾爆发|平稳-循环回归|平稳-低振守常,主从归顺|君臣尽忠|权谋败露|功名显达|亲缘团圆|代际和解,loop-026,后峰型,后峰-末端清算,主从归顺,103,33,2,42,2,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01001018,双狮图,历史戏,23.82,0.4145,0.3212,4,5,0.8333,0.4974,0.9433,105,1,4,徐策；薛蛟；书童；家院,5,5347,01000000/01001018_双狮图.pdf,亲属关系,亲属关系|审判与恩怨关系|权力关系,家庭亲情,家庭亲情|恩怨报偿|战争武略|政治权力|公案冤狱,loop-002|loop-000|loop-009|loop-010|loop-063|loop-060|loop-032|loop-026,后峰型|平稳型|多峰型|中峰型,后峰-终局和解|平稳-循环回归|多峰-恩怨反复|后峰-压轴报偿|中峰-中段审判|后峰-结尾爆发|后峰-末端清算,亲情牺牲|亲缘团圆|宗族复位|名节昭彰|恶人受惩|冤案昭雪|功名显达|主从归顺,loop-002,后峰型,后峰-终局和解,亲情牺牲,27,43,12,46,2,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01001019,柴桑口,历史戏,23.71,0.2729,0.4876,7,12,0.5714,0.4775,0.9913,71,3,7,诸葛亮；鲁肃；周循；四吴将；赵云；庞统；张飞,4,4122,01000000/01001019_柴桑口.pdf,冲突关系,冲突关系|同盟关系|权力关系,战争武略,战争武略|恩怨报偿|除暴侠义|政治权力|善恶转化,loop-049|loop-050|loop-055|loop-056|loop-053|loop-041|loop-044|loop-047,中峰型|后峰型,中峰-中段征战|后峰-结尾爆发|后峰-压轴报偿|后峰-末端清算,敌对和解|复仇完成|阵营转投|善恶翻转|君臣尽忠|结义同心,loop-049,中峰型,中峰-中段征战,敌对和解,0,11,16,67,1,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01001020,宋江闹院,历史戏,27.96,0.5417,0.3211,4,6,1.0,0.5417,1.0,275,2,4,宋江；阎惜姣；张文远；众人,8,11017,01000000/01001020_宋江闹院.pdf,亲属关系,亲属关系|冲突关系,家庭亲情,家庭亲情|礼教品格|战争武略|恩怨报偿|除暴侠义,loop-002|loop-000|loop-004|loop-005|loop-011|loop-048|loop-054|loop-051,后峰型|平稳型|中峰型|多峰型|前锋型,后峰-终局和解|平稳-循环回归|中峰-中段伦理压迫|后峰-迟来显义|后峰-末端清算|多峰-连战递进|多峰-恩怨反复|前锋-早峰回落,亲情牺牲|亲缘团圆|宗族复位|敌对消灭|复仇完成|敌对和解,loop-002,后峰型,后峰-终局和解,亲情牺牲,0,17,5,40,3,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01002001,李陵碑,家庭戏,21.59,0.2443,0.4357,6,7,0.4667,0.5235,0.8992,30,5,6,杨继业；杨延昭；杨延嗣；耶律休；四老军；探子,4,3753,01000000/01002001_李陵碑.pdf,冲突关系,冲突关系|亲属关系,战争武略,战争武略|家庭亲情|恩怨报偿|礼教品格|忠义家国,loop-048|loop-049|loop-056|loop-054|loop-002|loop-009|loop-005,多峰型|中峰型|后峰型,多峰-连战递进|中峰-中段征战|后峰-末端清算|多峰-恩怨反复|后峰-终局和解|后峰-迟来显义,敌对消灭|敌对和解|善恶翻转|复仇完成|亲情牺牲|宗族复位,loop-048,多峰型,多峰-连战递进,敌对消灭,42,70,1,57,16,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01002003,祭长江,历史戏,15.68,0.5751,0.0,2,1,1.0,0.5751,0.5751,10,2,2,孙尚香；龙王,2,1786,01000000/01002003_祭长江.pdf,权力关系,权力关系|婚恋关系|同盟关系,政治权力,政治权力|婚恋姻缘|战争武略|家庭亲情|礼教品格,loop-025|loop-026|loop-032|loop-030|loop-014|loop-015|loop-018|loop-046,中峰型|后峰型|多峰型|平稳型,中峰-中段计谋|后峰-末端清算|后峰-结尾爆发|多峰-连战递进|多峰-离合循环|平稳-循环回归|平稳-低振守常,权力更替|主从归顺|功名显达|夫妻重圆|婚恋错失|君臣尽忠,loop-025,中峰型,中峰-中段计谋,权力更替,0,10,6,33,3,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01002004,探寒窑,家庭戏,23.73,0.5704,0.5326,4,5,0.8333,0.6845,1.0,84,1,4,陈氏；王宝钏；家院；丫鬟,5,5750,01000000/01002004_探寒窑.pdf,亲属关系,亲属关系|婚恋关系|权力关系,家庭亲情,家庭亲情|婚恋姻缘|政治权力|文人世情|战争武略,loop-002|loop-000|loop-017|loop-015|loop-014|loop-021|loop-026|loop-032,后峰型|平稳型|多峰型,后峰-终局和解|平稳-循环回归|多峰-离合循环|平稳-中段微折|后峰-末端清算|后峰-结尾爆发,亲情牺牲|亲缘团圆|贞节守义|婚恋错失|夫妻重圆|主从归顺|功名显达,loop-002,后峰型,后峰-终局和解,亲情牺牲,1,69,4,30,5,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01002005,落花园,家庭戏,21.44,0.4586,0.3345,4,6,1.0,0.4586,0.8679,59,1,4,陈杏元；邹云英；邹母；丫鬟,3,3529,01000000/01002005_落花园.pdf,亲属关系,亲属关系|婚恋关系,家庭亲情,家庭亲情|婚恋姻缘|文人世情|礼教品格|忠义家国,loop-002|loop-000|loop-004|loop-005|loop-006|loop-017|loop-013|loop-023,后峰型|平稳型|中峰型|多峰型,后峰-终局和解|平稳-循环回归|中峰-中段伦理压迫|后峰-迟来显义|多峰-连环误会,亲情牺牲|亲缘团圆|宗族复位|贞节守义|婚恋错失|婚恋成全,loop-002,后峰型,后峰-终局和解,亲情牺牲,0,61,0,28,14,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01002006,探阴山,公案戏,21.95,0.4232,0.5754,5,8,0.8,0.529,1.0,66,1,5,包拯；油流鬼；柳金蝉；王朝；马汉,3,3400,01000000/01002006_探阴山.pdf,审判与恩怨关系,审判与恩怨关系|权力关系|亲属关系,公案冤狱,公案冤狱|家庭亲情|政治权力|战争武略|恩怨报偿,loop-072|loop-060|loop-063|loop-064|loop-034|loop-025|loop-032|loop-002,中峰型|多峰型|后峰型,中峰-中段审判|多峰-恩怨反复|后峰-压轴报偿|多峰-审断反复|中峰-中段计谋|后峰-结尾爆发|后峰-终局和解,世情讽喻|冤案昭雪|恶人受惩|恩情偿还|功名显达|权力更替|亲情牺牲,loop-072,中峰型,中峰-中段审判,世情讽喻,92,21,3,33,12,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01002007,打金枝,家庭戏,23.96,0.2825,0.4279,6,12,0.8,0.3531,0.7053,66,1,6,唐王；郭子仪；郭暧；公主；皇后；太监,5,4995,01000000/01002007_打金枝.pdf,权力关系,权力关系|亲属关系,政治权力,政治权力|家庭亲情|战争武略|礼教品格|忠义家国,loop-025|loop-026|loop-030|loop-031|loop-029|loop-000|loop-004|loop-006,中峰型|后峰型|多峰型|平稳型,中峰-中段计谋|后峰-末端清算|多峰-连战递进|中峰-中段征战|平稳-循环回归|中峰-中段伦理压迫|后峰-迟来显义,权力更替|主从归顺|权谋败露|亲缘团圆|亲情牺牲,loop-025,中峰型,中峰-中段计谋,权力更替,4,79,0,53,13,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01002008,八义图,家庭戏,27.36,0.3062,0.4112,6,10,0.6667,0.4594,0.911,168,4,6,程婴；屠岸贾；公孙杵臼；程妻；四龙套；二龙套,8,8583,01000000/01002008_八义图.pdf,亲属关系,亲属关系|同盟关系|婚恋关系,家庭亲情,家庭亲情|恩怨报偿|礼教品格|战争武略|除暴侠义,loop-000|loop-001|loop-011|loop-009|loop-005|loop-040|loop-042|loop-017,平稳型|前锋型|后峰型|多峰型|中峰型,平稳-循环回归|前锋-先决裂后修补|后峰-末端清算|多峰-恩怨反复|后峰-迟来显义|中峰-中段征战|前锋-早峰回落|后峰-终局和解,亲缘团圆|代际和解|宗族复位|义助功成|贞节守义,loop-000,平稳型,平稳-循环回归,亲缘团圆,0,57,7,29,5,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01002009,鱼肠剑,历史戏,28.41,0.2724,0.3754,10,25,0.5556,0.4904,0.9998,119,4,10,伍员；专诸；姬光；孙武；被离；刘展雄；专诸妻；牛二；老丈；太监甲,7,7538,01000000/01002009_鱼肠剑.pdf,亲属关系,亲属关系|权力关系|同盟关系,家庭亲情,家庭亲情|战争武略|政治权力|恩怨报偿|礼教品格,loop-000|loop-001|loop-010|loop-011|loop-004|loop-031|loop-025|loop-041,平稳型|前锋型|后峰型|中峰型,平稳-循环回归|前锋-先决裂后修补|后峰-压轴报偿|后峰-末端清算|中峰-中段伦理压迫|中峰-中段征战|中峰-中段计谋|后峰-结尾爆发,亲缘团圆|代际和解|名节昭彰|亲情牺牲|权谋败露|权力更替|阵营转投,loop-000,平稳型,平稳-循环回归,亲缘团圆,2,51,23,54,3,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01002010,钓金龟,家庭戏,23.42,0.6285,0.516,3,3,1.0,0.6285,1.0,118,1,3,康氏；张义；周家伯伯,4,5363,01000000/01002010_钓金龟.pdf,亲属关系,亲属关系,家庭亲情,家庭亲情|礼教品格|恩怨报偿|忠义家国,loop-000|loop-001|loop-005|loop-003|loop-011,平稳型|前锋型|后峰型,平稳-循环回归|前锋-先决裂后修补|后峰-迟来显义|平稳-低振守常|后峰-末端清算,亲缘团圆|代际和解|宗族复位,loop-000,平稳型,平稳-循环回归,亲缘团圆,0,144,1,13,2,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
