闭环ID,层级路径,角色关系类型,主题,叙事结构线,波动型,波动说明,关系演化结局,结局释义,剧本数量,剧本ID列表,代表剧目列表,叙事平均曲线,关系强度平均曲线,主题匹配均值,关系匹配均值,是否虚拟聚合,数据来源说明
loop-010,亲属关系>恩怨报偿>后峰型>后峰-压轴报偿>名节昭彰,亲属关系,恩怨报偿,后峰型,后峰-压轴报偿,终局集中完成赏罚、封赠或报应,名节昭彰,忠孝节义等品格得到公开确认,20,02012043; 02012045; 02012036; 03016004; 13003007; 01007011; 70402101; 02012037; 02012044; 03039007; 01005010; 03050003; 03084001; 03030005; 03061002; 70006101; 01030001; 70203102; 03057008; 04008002,弓砚缘【七本】；弓砚缘【九本】；东昌府【三本】；白龙关；二度梅·舟配；蝴蝶杯【后本】；铡判官；弓砚缘【头本】,"[2.5,2.6,2.9,3.3,3.8,4.5,5.4,6.3,7.8,8.2]","[2.7,2.9,3.1,3.6,4,4.7,5.6,6.5,7.4,8]",24.25,69.55,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-011,亲属关系>恩怨报偿>后峰型>后峰-末端清算>亲缘团圆,亲属关系,恩怨报偿,后峰型,后峰-末端清算,关系矛盾在结尾审判、报仇或处置,亲缘团圆,失散或隔阂的亲属重新确认并团聚,27,02012037; 02012044; 03039007; 01005010; 03050003; 03084001; 03030005; 03061002; 70006101; 01030001; 70203102; 03057008; 04008002; 03030001; 01039005; 02012035; 02009020; 01011003; 05013003; 70202103; 01039001; 05013004; 01012004; 01040005; 70203103; 90000007; 02005015,弓砚缘【头本】；弓砚缘【八本】；祭雪艳；御碑亭；铁丘坟；送京娘；雁门关【五本】；元宵谜,"[2.6,2.8,3,3.2,3.5,4,5.1,6.8,8.1,7]","[2.8,3,3.1,3.4,3.8,4.2,5,6.5,7.8,6.4]",20.67,66.33,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-012,婚恋关系>婚恋姻缘>中峰型>中峰-中段离合>婚恋成全,婚恋关系,婚恋姻缘,中峰型,中峰-中段离合,中段分离/重逢推动关系转向,婚恋成全,恋爱或婚约最终被承认,34,70801119; 70901109; 70203109; 70902156; 90000004; 01020012; 70202106; 01025006; 70805101; 70402101; 70202112; 01034006; 01020011; 01034004; 03002003; 70901106; 01020009; 01011010; 01040005; 01039006; 03022003; 03021001; 02012045; 01031002; 04027001; 01030001; 05013003; 02008004; 01004014; 70201110; 01013020; 01010010; 01006011; 90000006,西厢记；南西厢记·惠明下书；红娘；南西厢记·佳期；红娘；拷红；碧玉簪；合凤裙,"[2.4,2.9,3.8,5.2,6.9,5.8,4.1,3.2,3.6,4.4]","[2.8,3.2,4,5,6.2,5.5,4.4,3.8,4.2,5]",45.85,49.12,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-013,婚恋关系>婚恋姻缘>后峰型>后峰-终局和解>婚恋错失,婚恋关系,婚恋姻缘,后峰型,后峰-终局和解,结尾以团圆、赦免或认亲消解冲突,婚恋错失,情缘因礼法、战乱或死亡无法完成,24,01025006; 70805101; 70402101; 70202112; 01034006; 01020011; 01034004; 03002003; 70901106; 01020009; 01011010; 01040005; 01039006; 03022003; 03021001; 02012045; 01031002; 04027001; 01030001; 05013003; 02008004; 01004014; 70201110; 01013020,合凤裙；锁麟囊；铡判官；锁麟囊；镔铁剑；送花楼会；池水驿；荷珠配,"[2.8,3.1,3.4,4,4.8,5.6,6.2,5,3.8,2.6]","[3,3.3,3.6,4.1,4.7,5.3,5.8,5,4.2,5.6]",41.92,45.25,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-014,婚恋关系>婚恋姻缘>多峰型>多峰-离合循环>夫妻重圆,婚恋关系,婚恋姻缘,多峰型,多峰-离合循环,聚散、追赶、失而复得反复循环,夫妻重圆,夫妻离散后重聚,20,03002003; 70901106; 01020009; 01011010; 01040005; 01039006; 03022003; 03021001; 02012045; 01031002; 04027001; 01030001; 05013003; 02008004; 01004014; 70201110; 01013020; 01010010; 01006011; 90000006,荷珠配；一种情·冥勘；采花赶府；明月珠；万花船；失金钗；古押衙；花园赠金,"[2.6,4.8,3,5.6,3.2,6,3.5,5.4,3.8,4.6]","[3,5,3.4,5.4,3.8,5.8,4,5.2,4.4,5]",39.3,42.7,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-015,婚恋关系>家庭亲情>平稳型>平稳-循环回归>婚恋错失,婚恋关系,家庭亲情,平稳型,平稳-循环回归,离散后回到原有伦理/秩序位置,婚恋错失,情缘因礼法、战乱或死亡无法完成,21,70402101; 01040005; 70202103; 01030001; 01031002; 01025006; 70901109; 70203109; 90000004; 70203103; 03057008; 02005008; 02005009; 01034006; 01020009; 70203108; 80000023; 01034004; 01020012; 03064003; 01005010,铡判官；万花船；鸳鸯冢；黛玉焚稿；牢狱鸳鸯【头、二本】；合凤裙；南西厢记·惠明下书；红娘,"[2.8,3,3.3,3.6,3.2,2.9,3.1,3.4,3.2,2.9]","[3,3.2,3.5,3.7,3.1,2.8,3,3.3,3.1,3]",63.67,45.43,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-016,婚恋关系>家庭亲情>前锋型>前锋-先决裂后修补>夫妻重圆,婚恋关系,家庭亲情,前锋型,前锋-先决裂后修补,开局关系破裂，中后段修复或重排,夫妻重圆,夫妻离散后重聚,22,70203109; 90000004; 70203103; 03057008; 02005008; 02005009; 01034006; 01020009; 70203108; 80000023; 01034004; 01020012; 03064003; 01005010; 01029001; 70203105; 01039006; 03077001; 01028006; 01014014; 03084001; 01027004,红娘；红娘；元宵谜；黛玉焚稿；九莲灯【三本】；九莲灯【四本】；镔铁剑；采花赶府,"[7.6,6.9,5.8,4.5,3.2,2.8,3,3.5,4.2,5]","[7.2,6.5,5.4,4.2,3,2.6,3.2,3.9,4.8,5.6]",62.14,40.82,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-017,婚恋关系>家庭亲情>后峰型>后峰-终局和解>贞节守义,婚恋关系,家庭亲情,后峰型,后峰-终局和解,结尾以团圆、赦免或认亲消解冲突,贞节守义,女性或配偶以礼教贞义完成评价,15,01020009; 70203108; 80000023; 01034004; 01020012; 03064003; 01005010; 01029001; 70203105; 01039006; 03077001; 01028006; 01014014; 03084001; 01027004,采花赶府；勘玉钏；桃花村；池水驿；拷红；梨花簪；御碑亭；花田错【后本】,"[2.8,3.1,3.4,4,4.8,5.6,6.2,5,3.8,2.6]","[3,3.3,3.6,4.1,4.7,5.3,5.8,5,4.2,5.6]",61.8,38.6,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-018,婚恋关系>礼教品格>平稳型>平稳-低振守常>夫妻重圆,婚恋关系,礼教品格,平稳型,平稳-低振守常,低幅波动，关系秩序基本维持,夫妻重圆,夫妻离散后重聚,24,01040005; 01020004; 01025006; 01001009; 05019005; 14016006; 03061002; 70402101; 05013003; 01018002; 80000023; 03077002; 01020011; 05004004; 01035005; 02008004; 03022003; 02005014; 01031002; 01034004; 70203103; 70902170; 01013020; 70005118,万花船；别母乱箭；合凤裙；硃砂痣；五彩舆【十本】；白眉毛大闹高家店；元宵谜；铡判官,"[3,3.1,3,3.2,3.1,3.2,3.1,3.2,3.1,3.2]","[3.2,3.1,3.1,3,3.2,3.1,3.2,3.1,3.2,3.1]",18.58,38.58,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-019,婚恋关系>礼教品格>中峰型>中峰-中段伦理压迫>贞节守义,婚恋关系,礼教品格,中峰型,中峰-中段伦理压迫,中段礼法、家法或身份约束达到峰值,贞节守义,女性或配偶以礼教贞义完成评价,17,70402101; 05013003; 01018002; 80000023; 03077002; 01020011; 05004004; 01035005; 02008004; 03022003; 02005014; 01031002; 01034004; 70203103; 70902170; 01013020; 70005118,铡判官；珍珠塔【二本】；孝妇羹；桃花村；荆钗记；送花楼会；徐母训子；慈孝图,"[3,3.6,4.5,5.9,7,6.2,4.6,3.7,3.1,3.4]","[3.2,3.8,4.6,5.6,6.5,5.9,4.7,3.9,3.4,3.5]",16.82,38.24,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-020,婚恋关系>礼教品格>后峰型>后峰-迟来显义>礼法压服,婚恋关系,礼教品格,后峰型,后峰-迟来显义,忠义/真相到后段才被确认,礼法压服,个体欲望被礼法秩序收束,22,70901109; 70202106; 70902156; 90000004; 70805101; 70202112; 01020012; 02012045; 01040005; 01020004; 01025006; 01001009; 05019005; 14016006; 03061002; 70402101; 05013003; 01018002; 80000023; 03077002; 01020011; 05004004,南西厢记·惠明下书；碧玉簪；南西厢记·佳期；红娘；锁麟囊；锁麟囊；拷红；弓砚缘【九本】,"[2.1,2.3,2.5,2.9,3.4,4.1,5,6.4,7.8,8.5]","[2.4,2.5,2.8,3.2,3.8,4.5,5.6,6.7,7.5,8.1]",18.14,45.55,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-021,婚恋关系>文人世情>平稳型>平稳-中段微折>贞节守义,婚恋关系,文人世情,平稳型,平稳-中段微折,中段出现轻微阻滞但不改变主线,贞节守义,女性或配偶以礼教贞义完成评价,19,01006011; 03077001; 02005015; 02005012; 03061002; 70402101; 01039006; 03002003; 70805101; 02005008; 70001205; 90000006; 01034004; 02005011; 70202112; 70202103; 03021001; 80000023; 02005007,花田错【前本】；赵五娘；九莲灯【十本】；九莲灯【七本】；元宵谜；铡判官；失金钗；荷珠配,"[2.7,2.9,3,3.4,3.8,3.2,3,3.2,3.4,3.5]","[2.9,3,3.2,3.5,3.7,3.1,3,3.1,3.3,3.4]",35.0,39.95,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-022,婚恋关系>文人世情>前锋型>前锋-先误判后澄清>礼法压服,婚恋关系,文人世情,前锋型,前锋-先误判后澄清,早期误会/错判制造峰值，随后辨明,礼法压服,个体欲望被礼法秩序收束,19,70801119; 70203109; 01020011; 90000004; 70901109; 01040005; 01031002; 01020009; 70203103; 03064003; 70202106; 01011010; 70902156; 70802107; 01020012; 01006011; 03077001; 02005015; 02005012,西厢记；红娘；送花楼会；红娘；南西厢记·惠明下书；万花船；牢狱鸳鸯【头、二本】；采花赶府,"[6.8,7.4,5.9,4.2,3.3,2.9,2.7,3.1,3.8,4.3]","[6.2,6.9,5.5,4,3.2,2.8,2.6,3.2,3.7,4.1]",39.21,49.47,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-023,婚恋关系>文人世情>多峰型>多峰-连环误会>婚恋成全,婚恋关系,文人世情,多峰型,多峰-连环误会,多次误会推动关系反复摆动,婚恋成全,恋爱或婚约最终被承认,26,01020009; 70203103; 03064003; 70202106; 01011010; 70902156; 70802107; 01020012; 01006011; 03077001; 02005015; 02005012; 03061002; 70402101; 01039006; 03002003; 70805101; 02005008; 70001205; 90000006; 01034004; 02005011; 70202112; 70202103; 03021001; 80000023,采花赶府；元宵谜；梨花簪；碧玉簪；明月珠；南西厢记·佳期；王宝钏；拷红,"[3,5.8,3.4,6.4,3.6,5.5,3.2,4.8,3.1,4.2]","[3.2,5.5,3.6,6,3.8,5.3,3.4,4.6,3.3,4]",35.69,42.35,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-024,权力关系>政治权力>前锋型>前锋-开端突发>君臣尽忠,权力关系,政治权力,前锋型,前锋-开端突发,开端即爆发危机，后续处理后果,君臣尽忠,臣属以忠义完成政治关系,33,70901147; 04017003; 03055001; 03093005; 02004052; 01031009; 03093001; 14001008; 01026002; 03033005; 01004001; 02001016; 01012005; 01034003; 03027006; 01019001; 01011005; 02002032; 14001002; 80000003; 01005007; 70006111; 01035001; 02005007; 70005108; 01006018; 01032009; 01006003; 70902176; 01013001; 01010002; 01029006; 03079004,奏朝草诏；二进宫；打潘豹；逍遥津；定中原；雍凉关；许田射鹿；上天台,"[8.4,6.2,5,4.3,3.7,3.3,3.1,3,2.9,3.1]","[7.8,5.8,4.8,4.1,3.5,3.2,3,2.9,2.8,3]",66.42,67.82,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-025,权力关系>政治权力>中峰型>中峰-中段计谋>权力更替,权力关系,政治权力,中峰型,中峰-中段计谋,中段设局、用计、试探形成波峰,权力更替,旧权力退场，新权力确立,23,14001008; 01026002; 03033005; 01004001; 02001016; 01012005; 01034003; 03027006; 01019001; 01011005; 02002032; 14001002; 80000003; 01005007; 70006111; 01035001; 02005007; 70005108; 01006018; 01032009; 01006003; 70902176; 01013001,上天台；受禅台；司马师逼宫；逍遥津；太师回朝；打銮驾；汴梁图；骂杨广,"[3.2,3.5,4.1,5.5,7.2,6.4,5,3.8,3.2,3.4]","[3.1,3.4,4,5.2,6.8,6,4.8,3.9,3.4,3.5]",65.39,66.52,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-026,权力关系>政治权力>后峰型>后峰-末端清算>主从归顺,权力关系,政治权力,后峰型,后峰-末端清算,关系矛盾在结尾审判、报仇或处置,主从归顺,对立或游离者归附合法秩序,20,03027006; 01019001; 01011005; 02002032; 14001002; 80000003; 01005007; 70006111; 01035001; 02005007; 70005108; 01006018; 01032009; 01006003; 70902176; 01013001; 01010002; 01029006; 03079004; 14002006,骂杨广；进妲己【全本】；监酒令；汉忠烈【头本】；二进宫；打龙袍；二进宫；二进宫,"[2.6,2.8,3,3.2,3.5,4,5.1,6.8,8.1,7]","[2.8,3,3.1,3.4,3.8,4.2,5,6.5,7.8,6.4]",64.0,65.75,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-027,权力关系>忠义家国>后峰型>后峰-迟来显义>权力更替,权力关系,忠义家国,后峰型,后峰-迟来显义,忠义/真相到后段才被确认,权力更替,旧权力退场，新权力确立,20,01004008; 02008007; 70005115; 02008017; 02008008; 14001009; 01035001; 03055001; 03003001; 02005007; 04017003; 03079004; 14001002; 01022004; 01031009; 01005007; 14002006; 70201204; 01012005; 01003009,大保国；双尽忠【头本】；排王赞；梅花妆；双尽忠【二本】；大保国；狸猫换太子【三本】；打潘豹,"[2.1,2.3,2.5,2.9,3.4,4.1,5,6.4,7.8,8.5]","[2.4,2.5,2.8,3.2,3.8,4.5,5.6,6.7,7.5,8.1]",28.15,64.55,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-028,权力关系>忠义家国>后峰型>后峰-压轴报偿>主从归顺,权力关系,忠义家国,后峰型,后峰-压轴报偿,终局集中完成赏罚、封赠或报应,主从归顺,对立或游离者归附合法秩序,22,03055001; 03003001; 02005007; 04017003; 03079004; 14001002; 01022004; 01031009; 01005007; 14002006; 70201204; 01012005; 01003009; 70002103; 02008010; 14001008; 02008011; 03093005; 01026002; 80000016; 01019001; 04009002,打潘豹；双尽忠；九莲灯【二本】；二进宫；汉明妃；二进宫；明末遗恨；雍凉关,"[2.5,2.6,2.9,3.3,3.8,4.5,5.4,6.3,7.8,8.2]","[2.7,2.9,3.1,3.6,4,4.7,5.6,6.5,7.4,8]",27.5,61.91,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-029,权力关系>忠义家国>多峰型>多峰-连战递进>权谋败露,权力关系,忠义家国,多峰型,多峰-连战递进,多场战斗/交锋递进形成多峰,权谋败露,阴谋、篡夺或谗害被揭穿,15,01031009; 01005007; 14002006; 70201204; 01012005; 01003009; 70002103; 02008010; 14001008; 02008011; 03093005; 01026002; 80000016; 01019001; 04009002,雍凉关；二进宫；打龙袍；穆桂英挂帅；打銮驾；打龙袍；十老安刘；双尽忠【四本】,"[3.4,5,4.1,6,4.8,7.1,5.2,7.8,6,8.5]","[3.8,5.2,4.4,5.8,5,6.8,5.5,7.4,6.2,8]",28.0,60.13,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-030,权力关系>战争武略>多峰型>多峰-连战递进>主从归顺,权力关系,战争武略,多峰型,多峰-连战递进,多场战斗/交锋递进形成多峰,主从归顺,对立或游离者归附合法秩序,24,80000005; 01006001; 05002005; 70005112; 03030001; 03090001; 03097007; 70005101; 70003127; 01016011; 03101003; 03065006; 03068002; 03093001; 03051006; 03033005; 03030006; 03001005; 03090005; 70005109; 70004101; 70004109; 03030003; 14002008,火牛阵；连营寨；金镛关；刀劈三关；雁门关【头本】；安居平五路；战郢城；战蚩尤,"[3.4,5,4.1,6,4.8,7.1,5.2,7.8,6,8.5]","[3.8,5.2,4.4,5.8,5,6.8,5.5,7.4,6.2,8]",70.25,46.25,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-031,权力关系>战争武略>中峰型>中峰-中段征战>权谋败露,权力关系,战争武略,中峰型,中峰-中段征战,中段战斗或攻守形成主要峰值,权谋败露,阴谋、篡夺或谗害被揭穿,17,70005101; 70003127; 01016011; 03101003; 03065006; 03068002; 03093001; 03051006; 03033005; 03030006; 03001005; 03090005; 70005109; 70004101; 70004109; 03030003; 14002008,战蚩尤；走麦城；骂王朗；走麦城；取雒城；棘阳关；许田射鹿；马陵道【六本】,"[3,3.7,4.8,6,7.5,6.8,5.4,4.2,3.8,4]","[3.3,3.9,4.9,5.8,7,6.5,5.3,4.4,4,4.2]",70.47,45.06,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
